Product Name,Original Price,Discounted Price,Features,Description,Ideal For,Date Added
Rose Basket Candle,349.00,329.00,"Elegant, Handmade, Gift-worthy","A beautifully handcrafted rose basket candle with intricate floral detailing and a soft pastel base. Designed to add warmth, romance, and elegance to any space.",Anniversary & Valentine gifts | Wedding & engagement return gifts | Festive décor | Home & table styling,2026-02-08
Squirrel candle,299.00,259.00,"handcrafted, fine detailing, soft pastel finish, cute, elegant","Our adorable squirrel candle is handcrafted with fine detailing and a soft pastel finish. A perfect blend of cuteness and elegance, ideal for gifting and décor.",Baby shower return gifts | Birthday & naming ceremony | Festive gifting | Home & table décor.,2026-02-08
Butterfly Angel Candle,149.00,99.00,"Handcrafted with pure soy wax, Weight: ~23 g, Soft pastel finish with intricate floral detailing, Mild fragrance option available, Securely packed, Custom colours available on order","A symbol of love, protection & gentle beginnings 🤍. Each piece is hand-poured & hand-finished, making every candle unique.",Baby announcements | Thank you favors | Housewarming | Special moments,2026-02-08
Camera Shape Candle,299.00,249.00,"handcrafted, fine detailing, creative touch","Add a creative touch to your space with our Camera-shaped candle, handcrafted with love and fine detailing. A perfect pick for photography lovers, aesthetic décor, and unique gifting.",Return gifts|Birthday & anniversary gifts|Photography lovers|Desk & home décor,2026-02-08
Rose Bouquet Sculpted Candle,499.00,449.00,"Premium finish, Hand-poured","An elegant, hand-crafted candle designed like a blooming rose bouquet.",birthdays | anniversaries | Valentine’s Day | home décor,2026-02-08
Tea Light Candle - Tree Shape,30.00,25.00,"scented candle, multi-color, customisation available, bulk order","A minimal and elegant tree-shaped tea light candle, perfect for festive décor, gifting, and home ambience. Designed with clean edges and a stable base, it creates a warm and calming glow when lit.",Christmas | New Year | pooja décor | cozy corners,2026-02-08
Crimson Bloom – Luxury Rose Jar Candle,399.00,349.00,"Premium scented wax, 194 gm, 7 × 7 × 8.5 cm, Clean, long-lasting burn, Ideal for gifting & décor","A handcrafted luxury scented candle featuring an elegant crimson rose sculpted in premium wax, set inside a clear glass jar with a wooden lid. Designed to elevate your space with warmth, romance, and sophistication. Perfect for gifting or indulgent self-care.",gifting | décor | self-care,2026-02-08
Small glass jar Teddy embedded candle,199.00,169.00,"Premium soy wax, Teddy figurine inside glass jar, 5.5 × 6 cm, Soft & soothing fragrance, Neat, aesthetic & gift-ready","A charming handmade teddy candle set inside a clear glass jar, crafted with premium soy wax and fine detailing. Perfectly designed to add warmth, cuteness, and elegance to your gifting moments.",gifting moments,2026-02-08
Graceful Swan – Sculpted Candle,299.00,249.00,"hand-sculpted, ivory-tone wax, feather detailing, decorative, gifting candle","A beautifully hand-sculpted swan candle symbolising grace, purity, and calm. Crafted with smooth ivory-tone wax and delicate feather detailing, this candle adds a soft, elegant charm to any space.","home décor | baby showers | wedding gifts | minimalist interiors | serene gifting | elegant & minimalist décor | baby shower & newborn gifting | weddings, anniversaries & return gifts",2026-02-08
Eternal Embrace – Luxury Couple Candle,349.00,299.00,"Hand-poured, Artistic couple design, Premium wax, Soft, clean burn","A beautifully handcrafted candle representing two souls in a loving embrace. Its smooth, minimal design and warm glow make it a powerful symbol of love, connection and togetherness.",Anniversary gifts | Valentine’s Day | Romantic bedroom décor | Wedding & couple gifting,2026-02-08
